DATE,A_YLD_1,B_YLD_1,HIGH_YLD,LOW_YLD
2017-01-03,1.9405,1.947,2.003,1.922
2017-01-04,1.9306,1.947,1.977,1.922
2017-01-05,1.8434,1.863,1.947,1.837
2017-01-06,1.9239,1.922,1.932,1.827
2017-01-09,1.876,1.881,1.949,1.873
2017-01-10,1.8776,1.879,1.897,1.864
2017-01-11,1.8791,1.876,1.902,1.828
2017-01-12,1.8626,1.868,1.872,1.815
2017-01-13,1.897,1.884,1.935,1.829
2017-01-17,1.8209,1.826,1.877,1.804
2017-01-18,1.9301,1.884,1.942,1.826
2017-01-19,1.9583,1.953,1.988,1.923
2017-01-20,1.9349,1.938,1.997,1.93
2017-01-23,1.865,1.867,1.945,1.849
2017-01-24,1.9331,1.936,1.938,1.858
2017-01-25,1.9765,1.986,1.995,1.918
2017-01-26,1.969,1.961,2.017,1.957
2017-01-27,1.9458,1.941,1.987,1.941
2017-01-30,1.9491,1.936,1.956,1.918
2017-01-31,1.9195,1.906,1.952,1.89
2017-02-01,1.9327,1.926,1.984,1.916
2017-02-02,1.9228,1.92,1.934,1.888
2017-02-03,1.9096,1.933,1.968,1.868
2017-02-06,1.8519,1.854,1.916,1.844
2017-02-07,1.8486,1.844,1.877,1.817
2017-02-08,1.8024,1.816,1.857,1.794
2017-02-09,1.8667,1.87,1.875,1.802
2017-02-10,1.8849,1.887,1.901,1.87
2017-02-13,1.9131,1.911,1.928,1.895
2017-02-14,1.9646,1.96,1.99,1.906
2017-02-15,1.993,2.001,2.02,1.958
2017-02-16,1.9347,1.94,1.998,1.93
2017-02-17,1.9032,1.91,1.956,1.89
2017-02-21,1.9199,1.917,1.952,1.905
2017-02-22,1.9049,1.912,1.957,1.888
2017-02-23,1.8602,1.877,1.914,1.86
2017-02-24,1.8044,1.803,1.868,1.799
2017-02-27,1.8651,1.868,1.873,1.809
2017-02-28,1.936,1.88,1.949,1.845
2017-03-01,1.9906,1.991,2.006,1.946
2017-03-02,2.0172,2.029,2.049,1.982
2017-03-03,2.0107,2.017,2.061,2.009
2017-03-06,2.0158,2.014,2.027,1.986
2017-03-07,2.0491,2.044,2.053,2.011
2017-03-08,2.0893,2.081,2.113,2.039
2017-03-09,2.1363,2.125,2.14,2.084
2017-03-10,2.0964,2.105,2.148,2.093
2017-03-13,2.1368,2.128,2.142,2.078
2017-03-14,2.1285,2.123,2.147,2.11
2017-03-15,2.0047,2.016,2.13,2.005
2017-03-16,2.0432,2.03,2.052,1.996
2017-03-17,2.0183,2.02,2.053,2.002
2017-03-20,1.9849,1.993,2.028,1.985
2017-03-21,1.9432,1.962,2.023,1.941
2017-03-22,1.9349,1.93,1.958,1.908
2017-03-23,1.95,1.943,1.97,1.918
2017-03-24,1.9501,1.928,1.972,1.922
2017-03-27,1.9166,1.913,1.92,1.883
2017-03-28,1.9636,1.955,1.967,1.9
2017-03-29,1.926,1.936,1.98,1.928
2017-03-30,1.964,1.961,1.972,1.923
2017-03-31,1.9228,1.928,1.972,1.923
2017-04-03,1.8519,1.877,1.939,1.85
2017-04-04,1.8898,1.878,1.893,1.84
2017-04-05,1.8535,1.868,1.906,1.837
2017-04-06,1.8585,1.863,1.883,1.842
2017-04-07,1.918,1.911,1.923,1.784
